Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
29-04-2021,Puducherry,-,-,47080,781,56305
29-04-2021,Punjab,-,-,295988,8772,358186
29-04-2021,Rajasthan,-,-,396279,3926,563577
29-04-2021,Sikkim,-,-,6328,143,7577
29-04-2021,Tamil Nadu,-,-,1006033,13826,1130167
29-04-2021,Telengana,-,-,349692,2208,427960
29-04-2021,Tripura,-,-,33562,396,35028
29-04-2021,Uttarakhand,-,-,120816,2417,168616
29-04-2021,Uttar Pradesh,-,-,870864,11943,1182848
29-04-2021,West Bengal,-,-,676581,11159,793552
28-04-2021,Andaman and Nicobar Islands,-,-,5562,66,5764
28-04-2021,Andhra Pradesh,-,-,947629,7800,1054875
28-04-2021,Arunachal Pradesh,-,-,17021,58,17898
28-04-2021,Assam,-,-,221299,1233,243802
28-04-2021,Bihar,-,-,331418,2307,428001
28-04-2021,Chandigarh,-,-,33924,446,40350
28-04-2021,Chhattisgarh,-,-,555489,7782,682339
28-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,4883,4,6912
28-04-2021,Delhi,-,-,958792,15009,1072065
28-04-2021,Goa,-,-,64231,1086,81908
28-04-2021,Gujarat,-,-,390229,6656,524725
28-04-2021,Haryana,-,-,359699,3926,447754
28-04-2021,Himachal Pradesh,-,-,74812,1387,91350
28-04-2021,Jammu and Kashmir,-,-,141574,2197,166054
28-04-2021,Jharkhand,-,-,159916,2246,213414
28-04-2021,Karnataka,-,-,1084050,14807,1400775
28-04-2021,Kerala,-,-,1207680,5170,1460364
28-04-2021,Ladakh,-,-,11800,139,13642
28-04-2021,Lakshadweep,-,-,1198,1,2401
28-04-2021,Madhya Pradesh,-,-,425812,5319,525407
28-04-2021,Maharashtra,-,-,3669548,66179,4410085
28-04-2021,Manipur,-,-,29317,393,30742
28-04-2021,Meghalaya,-,-,14650,165,16271
28-04-2021,Mizoram,-,-,4743,13,5742
28-04-2021,Nagaland,-,-,12472,99,13445
28-04-2021,Odisha,-,-,371200,2007,420129
28-04-2021,Puducherry,-,-,46448,771,55047
28-04-2021,Punjab,-,-,290716,8630,351282
28-04-2021,Rajasthan,-,-,387976,3806,546964
28-04-2021,Sikkim,-,-,6302,142,7426
28-04-2021,Tamil Nadu,-,-,990919,13728,1113502
28-04-2021,Telengana,-,-,345683,2150,419966
28-04-2021,Tripura,-,-,33549,396,34862
28-04-2021,Uttarakhand,-,-,117221,2309,162562
28-04-2021,Uttar Pradesh,-,-,834961,11678,1153097
28-04-2021,West Bengal,-,-,664648,11082,776345
27-04-2021,Andaman and Nicobar Islands,-,-,5520,66,5716
27-04-2021,Andhra Pradesh,-,-,940574,7736,1043441
27-04-2021,Arunachal Pradesh,-,-,16993,58,17775
27-04-2021,Assam,-,-,220344,1215,240670
27-04-2021,Bihar,-,-,323514,2222,415397
27-04-2021,Chandigarh,-,-,33498,440,39513
27-04-2021,Chhattisgarh,-,-,538558,7536,667446
27-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,4700,4,6726
